cohort,mortality_available,standardization,state_definition,state_from,origin_intervals,returned_to_unimpaired_n,reversion_percent
mhas,True,wave,legacy,joint,2606,153,5.871066768994628
mhas,True,wave,legacy,unimpaired,26057,18696,71.75039336838469
share,True,wave,legacy,cognitive_only,25015,7624,30.47771337197681
share,True,wave,legacy,functional_only,3473,1084,31.21220846530377
share,True,wave,legacy,joint,5424,286,5.272861356932154
share,True,wave,legacy,unimpaired,73329,59022,80.48930164055149
charls,True,wave,strict,cognitive_only,6473,2605,40.24409083886915
charls,True,wave,strict,functional_only,1587,651,41.02079395085066
charls,True,wave,strict,joint,992,165,16.633064516129032
charls,True,wave,strict,unimpaired,30040,24605,81.9074567243675
elsa,False,wave,strict,cognitive_only,8847,4577,51.73505142986323
elsa,False,wave,strict,functional_only,4119,1216,29.521728574896823
elsa,False,wave,strict,joint,1917,259,13.510693792383933
elsa,False,wave,strict,unimpaired,48595,41136,84.6506842267723
hrs,True,wave,strict,cognitive_only,24319,8382,34.46687774990748
hrs,True,wave,strict,functional_only,6399,1731,27.05110173464604
hrs,True,wave,strict,joint,5520,346,6.268115942028986
hrs,True,wave,strict,unimpaired,110863,92736,83.64918863822916
klosa,True,wave,strict,cognitive_only,4475,1328,29.675977653631286
klosa,True,wave,strict,functional_only,340,111,32.64705882352941
klosa,True,wave,strict,joint,1182,62,5.245346869712352
klosa,True,wave,strict,unimpaired,21528,18754,87.11445559271647
mhas,True,wave,strict,cognitive_only,8358,2472,29.576453697056714
mhas,True,wave,strict,functional_only,2018,736,36.47175421209118
mhas,True,wave,strict,joint,1836,105,5.718954248366013
mhas,True,wave,strict,unimpaired,29302,21863,74.61265442631903
share,True,wave,strict,cognitive_only,18555,6007,32.37402317434654
share,True,wave,strict,functional_only,4147,1319,31.806124909573185
share,True,wave,strict,joint,4550,275,6.043956043956044
share,True,wave,strict,unimpaired,79989,66231,82.80013501856506
charls,True,wave,matched_0.15,cognitive_only,3010,1316,43.72093023255814
charls,True,wave,matched_0.15,functional_only,4376,2031,46.412248628884825
charls,True,wave,matched_0.15,joint,1184,244,20.60810810810811
charls,True,wave,matched_0.15,unimpaired,30522,25413,83.26125417731473
elsa,False,wave,matched_0.15,cognitive_only,6018,3299,54.818876703223665
elsa,False,wave,matched_0.15,functional_only,6214,1742,28.03347280334728
elsa,False,wave,matched_0.15,joint,2001,266,13.29335332333833
elsa,False,wave,matched_0.15,unimpaired,49245,42137,85.56604731444817
hrs,True,wave,matched_0.15,cognitive_only,14063,5151,36.6280310033421
hrs,True,wave,matched_0.15,functional_only,13216,3794,28.70762711864407
hrs,True,wave,matched_0.15,joint,6177,473,7.657438886190708
hrs,True,wave,matched_0.15,unimpaired,113645,96488,84.90298737295966
klosa,True,wave,matched_0.15,cognitive_only,2635,852,32.33396584440228
klosa,True,wave,matched_0.15,functional_only,1684,623,36.99524940617577
klosa,True,wave,matched_0.15,joint,1458,93,6.378600823045268
klosa,True,wave,matched_0.15,unimpaired,21748,19083,87.74599963215009
mhas,True,wave,matched_0.15,cognitive_only,4383,1520,34.67944330367329
mhas,True,wave,matched_0.15,functional_only,3813,1406,36.87385260949384
mhas,True,wave,matched_0.15,joint,1589,149,9.376966645689112
mhas,True,wave,matched_0.15,unimpaired,31729,24185,76.22364398499795
share,True,wave,matched_0.15,cognitive_only,9685,3366,34.75477542591637
share,True,wave,matched_0.15,functional_only,11869,4237,35.69803690285618
share,True,wave,matched_0.15,joint,5606,489,8.722797003210845
share,True,wave,matched_0.15,unimpaired,80081,65433,81.70852012337508
charls,True,wave,matched_0.20,cognitive_only,4010,1532,38.20448877805486
charls,True,wave,matched_0.20,functional_only,5340,2200,41.19850187265918
charls,True,wave,matched_0.20,joint,1934,369,19.07962771458118
charls,True,wave,matched_0.20,unimpaired,27808,21645,77.83731300345225
elsa,False,wave,matched_0.20,cognitive_only,7683,3864,50.29285435376806
elsa,False,wave,matched_0.20,functional_only,8134,2403,29.542660437669042
elsa,False,wave,matched_0.20,joint,3175,412,12.976377952755906
elsa,False,wave,matched_0.20,unimpaired,44486,35939,80.78721395495212
hrs,True,wave,matched_0.20,cognitive_only,17169,5867,34.172054283883746
hrs,True,wave,matched_0.20,functional_only,18490,5343,28.896700919415903
hrs,True,wave,matched_0.20,joint,9778,739,7.557782777664144
hrs,True,wave,matched_0.20,unimpaired,101664,82716,81.36213408876299
klosa,True,wave,matched_0.20,cognitive_only,3985,1248,31.317440401505646
klosa,True,wave,matched_0.20,functional_only,1478,548,37.07713125845737
klosa,True,wave,matched_0.20,joint,1664,102,6.129807692307692
klosa,True,wave,matched_0.20,unimpaired,20398,17589,86.22904206294734
mhas,True,wave,matched_0.20,cognitive_only,5713,1751,30.649396114125675
mhas,True,wave,matched_0.20,functional_only,4516,1728,38.26395039858282
mhas,True,wave,matched_0.20,joint,2306,200,8.673026886383347
mhas,True,wave,matched_0.20,unimpaired,28979,21133,72.9252217122744
share,True,wave,matched_0.20,cognitive_only,13550,4548,33.564575645756456
share,True,wave,matched_0.20,functional_only,10826,3718,34.34324773692962
share,True,wave,matched_0.20,joint,7111,551,7.748558571227676
share,True,wave,matched_0.20,unimpaired,75754,60887,80.37463368270983
charls,True,wave,matched_0.25,cognitive_only,5091,1787,35.101158907876645
charls,True,wave,matched_0.25,functional_only,5658,2236,39.51926475786497
charls,True,wave,matched_0.25,joint,2688,438,16.294642857142858
charls,True,wave,matched_0.25,unimpaired,25655,19137,74.59364646267784
elsa,False,wave,matched_0.25,cognitive_only,9294,4344,46.739832149774045
elsa,False,wave,matched_0.25,functional_only,9310,2348,25.22019334049409
elsa,False,wave,matched_0.25,joint,4777,513,10.738957504710068
elsa,False,wave,matched_0.25,unimpaired,40097,30673,76.49699478763998
hrs,True,wave,matched_0.25,cognitive_only,22829,7454,32.651452100398615
hrs,True,wave,matched_0.25,functional_only,17374,4661,26.82744330608956
hrs,True,wave,matched_0.25,joint,12385,824,6.65320952765442
hrs,True,wave,matched_0.25,unimpaired,94513,74827,79.17111931691937
klosa,True,wave,matched_0.25,cognitive_only,4835,1449,29.96897621509824
klosa,True,wave,matched_0.25,functional_only,1359,492,36.20309050772627
klosa,True,wave,matched_0.25,joint,1783,103,5.7767807066741454
klosa,True,wave,matched_0.25,unimpaired,19548,16435,84.07509719664415
mhas,True,wave,matched_0.25,cognitive_only,7349,2118,28.82024765274187
mhas,True,wave,matched_0.25,functional_only,4080,1540,37.745098039215684
mhas,True,wave,matched_0.25,joint,2742,219,7.986870897155361
mhas,True,wave,matched_0.25,unimpaired,27343,19467,71.19555279230516
share,True,wave,matched_0.25,cognitive_only,17692,5551,31.375763056748813
share,True,wave,matched_0.25,functional_only,9613,3319,34.526162488297096
share,True,wave,matched_0.25,joint,8324,633,7.604517059106199
share,True,wave,matched_0.25,unimpaired,71612,56668,79.13198905211416
