cohort,mortality_available,wave,standardization,state_definition,common_living_observed_n,target_percent,cognitive_cut,cognitive_percent_below_cut,cognitive_percent_equal_cut,cognitive_percent_at_or_below_cut,cognitive_empirical_percentile_lower,cognitive_empirical_percentile_upper,cognitive_target_minus_realised_pp,functional_cut,functional_percent_above_cut,functional_percent_equal_cut,functional_percent_at_or_above_cut,functional_empirical_percentile_lower,functional_empirical_percentile_upper,functional_target_minus_realised_pp
hrs,True,12,wave,legacy,16779,,-0.43,27.21854699326539,0.0,27.21854699326539,27.21854699326539,27.21854699326539,,0.43,13.761249180523274,0.0,13.761249180523274,86.23875081947673,86.23875081947673,
hrs,True,13,wave,legacy,19040,,-0.43,33.43487394957983,0.0,33.43487394957983,33.43487394957983,33.43487394957983,,0.43,13.04621848739496,0.0,13.04621848739496,86.95378151260505,86.95378151260505,
hrs,True,14,wave,legacy,15741,,-0.43,30.5444380916079,0.0,30.5444380916079,30.5444380916079,30.5444380916079,,0.43,13.366368083349215,0.0,13.366368083349215,86.63363191665078,86.63363191665078,
hrs,True,15,wave,legacy,14326,,-0.43,30.5668016194332,0.0,30.5668016194332,30.5668016194332,30.5668016194332,,0.43,12.2085718274466,0.0,12.2085718274466,87.7914281725534,87.7914281725534,
hrs,True,5,wave,legacy,15982,,-0.43,30.997372043548992,0.0,30.997372043548992,30.997372043548992,30.997372043548992,,0.43,10.230259041421599,0.0,10.230259041421599,89.76974095857841,89.76974095857841,
hrs,True,6,wave,legacy,14762,,-0.43,30.056902858691238,0.0,30.056902858691238,30.056902858691238,30.056902858691238,,0.43,10.777672402113534,0.0,10.777672402113534,89.22232759788646,89.22232759788646,
hrs,True,7,wave,legacy,16720,,-0.43,30.149521531100476,0.0,30.149521531100476,30.149521531100476,30.149521531100476,,0.43,10.41866028708134,0.0,10.41866028708134,89.58133971291866,89.58133971291866,
hrs,True,8,wave,legacy,15705,,-0.43,31.123845908946198,0.0,31.123845908946198,31.123845908946198,31.123845908946198,,0.43,11.926138172556511,0.0,11.926138172556511,88.0738618274435,88.0738618274435,
hrs,True,9,wave,legacy,14718,,-0.43,31.988041853512705,0.0,31.988041853512705,31.988041853512705,31.988041853512705,,0.43,11.489332789781221,0.0,11.489332789781221,88.51066721021878,88.51066721021878,
klosa,True,3,wave,legacy,7488,,-0.43,24.9732905982906,0.0,24.9732905982906,24.9732905982906,24.9732905982906,,0.43,6.971153846153847,0.0,6.971153846153847,93.02884615384616,93.02884615384616,
klosa,True,4,wave,legacy,7113,,-0.43,23.478138619429213,0.0,23.478138619429213,23.478138619429213,23.478138619429213,,0.43,7.7323211022072265,0.0,7.7323211022072265,92.26767889779278,92.26767889779278,
klosa,True,5,wave,legacy,7551,,-0.43,23.864388822672495,0.0,23.864388822672495,23.864388822672495,23.864388822672495,,0.43,7.80029135213879,0.0,7.80029135213879,92.19970864786121,92.19970864786121,
klosa,True,6,wave,legacy,7132,,-0.43,23.681996634885024,0.0,23.681996634885024,23.681996634885024,23.681996634885024,,0.43,7.683679192372406,0.0,7.683679192372406,92.31632080762759,92.31632080762759,
klosa,True,7,wave,legacy,6554,,-0.43,25.617943240768998,0.0,25.617943240768998,25.617943240768998,25.617943240768998,,0.43,7.094903875495881,0.0,7.094903875495881,92.90509612450411,92.90509612450411,
mhas,True,1,wave,legacy,12834,,-0.43,32.943743182172355,0.0,32.943743182172355,32.943743182172355,32.943743182172355,,0.43,8.843696431354216,0.0,8.843696431354216,91.15630356864578,91.15630356864578,
mhas,True,2,wave,legacy,11744,,-0.43,33.94073569482289,0.0,33.94073569482289,33.94073569482289,33.94073569482289,,0.43,9.153610354223433,0.0,9.153610354223433,90.84638964577657,90.84638964577657,
mhas,True,3,wave,legacy,13427,,-0.43,32.43464660758174,0.0,32.43464660758174,32.43464660758174,32.43464660758174,,0.43,12.720637521412081,0.0,12.720637521412081,87.27936247858791,87.27936247858791,
mhas,True,4,wave,legacy,12890,,-0.43,32.598913886733904,0.0,32.598913886733904,32.598913886733904,32.598913886733904,,0.43,15.399534522885958,0.0,15.399534522885958,84.60046547711404,84.60046547711404,
mhas,True,5,wave,legacy,15153,,-0.43,32.42262258298687,0.0,32.42262258298687,32.42262258298687,32.42262258298687,,0.43,11.284894080380123,0.0,11.284894080380123,88.71510591961987,88.71510591961987,
share,True,4,wave,legacy,53905,,-0.43,29.190242092570262,0.0,29.190242092570262,29.190242092570262,29.190242092570262,,0.43,8.064186995640478,0.0,8.064186995640478,91.93581300435952,91.93581300435952,
