cohort,mortality_available,standardization,state_definition,state,n,percent,population
hrs,True,fixed,strict,unimpaired,127892,70.46313539244747,living_domain_states_with_validated_death_endpoint
klosa,True,fixed,strict,cognitive_only,5916,16.50761761258999,living_domain_states_with_validated_death_endpoint
klosa,True,fixed,strict,functional_only,437,1.2193760812545342,living_domain_states_with_validated_death_endpoint
klosa,True,fixed,strict,joint,1549,4.322227802890787,living_domain_states_with_validated_death_endpoint
klosa,True,fixed,strict,unimpaired,27936,77.95077850326469,living_domain_states_with_validated_death_endpoint
mhas,True,fixed,strict,cognitive_only,14774,22.36858042635659,living_domain_states_with_validated_death_endpoint
mhas,True,fixed,strict,functional_only,2904,4.396802325581396,living_domain_states_with_validated_death_endpoint
mhas,True,fixed,strict,joint,3213,4.864643895348837,living_domain_states_with_validated_death_endpoint
mhas,True,fixed,strict,unimpaired,45157,68.36997335271317,living_domain_states_with_validated_death_endpoint
share,True,fixed,strict,cognitive_only,40911,16.993993470079506,living_domain_states_with_validated_death_endpoint
share,True,fixed,strict,functional_only,9138,3.79582782942452,living_domain_states_with_validated_death_endpoint
share,True,fixed,strict,joint,9946,4.1314624197260095,living_domain_states_with_validated_death_endpoint
share,True,fixed,strict,unimpaired,180743,75.07871628076997,living_domain_states_with_validated_death_endpoint
charls,True,fixed,matched_0.15,cognitive_only,7038,10.22058930308883,five_state_including_validated_death
charls,True,fixed,matched_0.15,death,2829,4.10827609241806,five_state_including_validated_death
charls,True,fixed,matched_0.15,functional_only,7033,10.21332829903719,five_state_including_validated_death
charls,True,fixed,matched_0.15,joint,2877,4.177981731313806,five_state_including_validated_death
charls,True,fixed,matched_0.15,unimpaired,49084,71.27982457414211,five_state_including_validated_death
elsa,False,fixed,matched_0.15,cognitive_only,8869,10.39717708846217,four_state_mortality_endpoint_unavailable
elsa,False,fixed,matched_0.15,functional_only,8751,10.258845044664838,four_state_mortality_endpoint_unavailable
elsa,False,fixed,matched_0.15,joint,3827,4.4864129797660075,four_state_mortality_endpoint_unavailable
elsa,False,fixed,matched_0.15,unimpaired,63855,74.85756488710699,four_state_mortality_endpoint_unavailable
hrs,True,fixed,matched_0.15,cognitive_only,18350,9.423449239191278,five_state_including_validated_death
hrs,True,fixed,matched_0.15,death,13225,6.791559465302706,five_state_including_validated_death
hrs,True,fixed,matched_0.15,functional_only,16994,8.727089720480468,five_state_including_validated_death
hrs,True,fixed,matched_0.15,joint,8856,4.547905529279452,five_state_including_validated_death
hrs,True,fixed,matched_0.15,unimpaired,137302,70.50999604574609,five_state_including_validated_death
klosa,True,fixed,matched_0.15,cognitive_only,3450,9.196566615130351,five_state_including_validated_death
klosa,True,fixed,matched_0.15,death,1676,4.467665404915498,five_state_including_validated_death
klosa,True,fixed,matched_0.15,functional_only,2093,5.579250413179079,five_state_including_validated_death
klosa,True,fixed,matched_0.15,joint,1930,5.144745961507704,five_state_including_validated_death
klosa,True,fixed,matched_0.15,unimpaired,28365,75.61177160526736,five_state_including_validated_death
mhas,True,fixed,matched_0.15,cognitive_only,6991,9.782684745952452,five_state_including_validated_death
mhas,True,fixed,matched_0.15,death,5415,7.577347718399731,five_state_including_validated_death
mhas,True,fixed,matched_0.15,functional_only,6529,9.13619635335768,five_state_including_validated_death
mhas,True,fixed,matched_0.15,joint,2917,4.081832556707667,five_state_including_validated_death
mhas,True,fixed,matched_0.15,unimpaired,49611,69.42193862558247,five_state_including_validated_death
share,True,fixed,matched_0.15,cognitive_only,23451,9.220987566942695,five_state_including_validated_death
share,True,fixed,matched_0.15,death,13584,5.341260292070682,five_state_including_validated_death
share,True,fixed,matched_0.15,functional_only,25237,9.923246907463767,five_state_including_validated_death
share,True,fixed,matched_0.15,joint,12650,4.97400932675899,five_state_including_validated_death
share,True,fixed,matched_0.15,unimpaired,179400,70.54049590676387,five_state_including_validated_death
charls,True,fixed,matched_0.15,cognitive_only,7038,10.658468621274533,living_domain_states_with_validated_death_endpoint
charls,True,fixed,matched_0.15,functional_only,7033,10.650896535013327,living_domain_states_with_validated_death_endpoint
charls,True,fixed,matched_0.15,joint,2877,4.356978434698328,living_domain_states_with_validated_death_endpoint
charls,True,fixed,matched_0.15,unimpaired,49084,74.33365640901381,living_domain_states_with_validated_death_endpoint
elsa,False,fixed,matched_0.15,cognitive_only,8869,10.39717708846217,living_domain_states_mortality_endpoint_unavailable
elsa,False,fixed,matched_0.15,functional_only,8751,10.258845044664838,living_domain_states_mortality_endpoint_unavailable
elsa,False,fixed,matched_0.15,joint,3827,4.4864129797660075,living_domain_states_mortality_endpoint_unavailable
elsa,False,fixed,matched_0.15,unimpaired,63855,74.85756488710699,living_domain_states_mortality_endpoint_unavailable
hrs,True,fixed,matched_0.15,cognitive_only,18350,10.110081431609569,living_domain_states_with_validated_death_endpoint
hrs,True,fixed,matched_0.15,functional_only,16994,9.362982226091173,living_domain_states_with_validated_death_endpoint
hrs,True,fixed,matched_0.15,joint,8856,4.879285076748466,living_domain_states_with_validated_death_endpoint
hrs,True,fixed,matched_0.15,unimpaired,137302,75.64765126555079,living_domain_states_with_validated_death_endpoint
klosa,True,fixed,matched_0.15,cognitive_only,3450,9.626653273062113,living_domain_states_with_validated_death_endpoint
klosa,True,fixed,matched_0.15,functional_only,2093,5.840169652324349,living_domain_states_with_validated_death_endpoint
klosa,True,fixed,matched_0.15,joint,1930,5.3853451643506896,living_domain_states_with_validated_death_endpoint
klosa,True,fixed,matched_0.15,unimpaired,28365,79.14783191026285,living_domain_states_with_validated_death_endpoint
mhas,True,fixed,matched_0.15,cognitive_only,6991,10.584726259689923,living_domain_states_with_validated_death_endpoint
mhas,True,fixed,matched_0.15,functional_only,6529,9.885234980620154,living_domain_states_with_validated_death_endpoint
mhas,True,fixed,matched_0.15,joint,2917,4.416484980620155,living_domain_states_with_validated_death_endpoint
mhas,True,fixed,matched_0.15,unimpaired,49611,75.11355377906976,living_domain_states_with_validated_death_endpoint
share,True,fixed,matched_0.15,cognitive_only,23451,9.741295516287416,living_domain_states_with_validated_death_endpoint
share,True,fixed,matched_0.15,functional_only,25237,10.483180885443927,living_domain_states_with_validated_death_endpoint
share,True,fixed,matched_0.15,joint,12650,5.254675207071588,living_domain_states_with_validated_death_endpoint
share,True,fixed,matched_0.15,unimpaired,179400,74.52084839119706,living_domain_states_with_validated_death_endpoint
charls,True,fixed,matched_0.20,cognitive_only,8794,12.77065392602489,five_state_including_validated_death
charls,True,fixed,matched_0.20,death,2829,4.10827609241806,five_state_including_validated_death
charls,True,fixed,matched_0.20,functional_only,8781,12.751775315490626,five_state_including_validated_death
charls,True,fixed,matched_0.20,joint,4408,6.401301171926054,five_state_including_validated_death
charls,True,fixed,matched_0.20,unimpaired,44049,63.96799349414037,five_state_including_validated_death
elsa,False,fixed,matched_0.20,cognitive_only,11025,12.924667651403249,four_state_mortality_endpoint_unavailable
elsa,False,fixed,matched_0.20,functional_only,11130,13.047759724273757,four_state_mortality_endpoint_unavailable
elsa,False,fixed,matched_0.20,joint,5732,6.719654873273781,four_state_mortality_endpoint_unavailable
elsa,False,fixed,matched_0.20,unimpaired,57415,67.30791775104922,four_state_mortality_endpoint_unavailable
hrs,True,fixed,matched_0.20,cognitive_only,22122,11.360520112773267,five_state_including_validated_death
hrs,True,fixed,matched_0.20,death,13225,6.791559465302706,five_state_including_validated_death
hrs,True,fixed,matched_0.20,functional_only,23263,11.946468645847776,five_state_including_validated_death
hrs,True,fixed,matched_0.20,joint,13622,6.995434634128806,five_state_including_validated_death
hrs,True,fixed,matched_0.20,unimpaired,122495,62.906017141947444,five_state_including_validated_death
klosa,True,fixed,matched_0.20,cognitive_only,5058,13.48296635922589,five_state_including_validated_death
klosa,True,fixed,matched_0.20,death,1676,4.467665404915498,five_state_including_validated_death
klosa,True,fixed,matched_0.20,functional_only,1839,4.902169856586874,five_state_including_validated_death
klosa,True,fixed,matched_0.20,joint,2184,5.821826518099909,five_state_including_validated_death
klosa,True,fixed,matched_0.20,unimpaired,26757,71.32537186117183,five_state_including_validated_death
mhas,True,fixed,matched_0.20,cognitive_only,9186,12.854204273540153,five_state_including_validated_death
mhas,True,fixed,matched_0.20,death,5415,7.577347718399731,five_state_including_validated_death
mhas,True,fixed,matched_0.20,functional_only,7082,9.910023368736269,five_state_including_validated_death
mhas,True,fixed,matched_0.20,joint,4032,5.642080517190714,five_state_including_validated_death
mhas,True,fixed,matched_0.20,unimpaired,45748,64.01634412213313,five_state_including_validated_death
share,True,fixed,matched_0.20,cognitive_only,32466,12.765706466605327,five_state_including_validated_death
share,True,fixed,matched_0.20,death,13584,5.341260292070682,five_state_including_validated_death
share,True,fixed,matched_0.20,functional_only,22839,8.980347748130322,five_state_including_validated_death
share,True,fixed,matched_0.20,joint,15769,6.20040735760178,five_state_including_validated_death
share,True,fixed,matched_0.20,unimpaired,169664,66.71227813559189,five_state_including_validated_death
charls,True,fixed,matched_0.20,cognitive_only,8794,13.317785316210323,living_domain_states_with_validated_death_endpoint
charls,True,fixed,matched_0.20,functional_only,8781,13.298097891931185,living_domain_states_with_validated_death_endpoint
charls,True,fixed,matched_0.20,joint,4408,6.675551247879816,living_domain_states_with_validated_death_endpoint
charls,True,fixed,matched_0.20,unimpaired,44049,66.70856554397868,living_domain_states_with_validated_death_endpoint
elsa,False,fixed,matched_0.20,cognitive_only,11025,12.924667651403249,living_domain_states_mortality_endpoint_unavailable
elsa,False,fixed,matched_0.20,functional_only,11130,13.047759724273757,living_domain_states_mortality_endpoint_unavailable
