analysis,adjustment_set,state_definition,standardization,persistent,outcome,exposure,term,estimand,death_handling,k,pooled,ci_low,ci_high,prediction_low,prediction_high,tau2,i2,cohorts,covariates_by_cohort,n_total,clusters_total,mortality_availability_by_cohort,scale
exclude_interval_outside_0_5_to_5y_transition_gee,mental_health,matched_0.20,fixed,False,any_cognitive,cmm4_start,cmm4_start,survivor_conditional_domain_transition,observed_living_endpoint_survivor_conditional_model,6,1.00605985357035,0.94604661751179,1.0698800780326032,0.8579029870760528,1.179802896380715,0.002719714747363477,81.76932900537598,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",266125,107206,charls:True;elsa:False;hrs:True;klosa:True;mhas:True;share:True,odds_ratio
exclude_interval_outside_0_5_to_5y_transition_gee,mental_health,matched_0.20,fixed,False,any_functional,cmm4_start,cmm4_start,survivor_conditional_domain_transition,observed_living_endpoint_survivor_conditional_model,6,1.3306155401372224,1.2655256511404538,1.3990532029588785,1.1859286773343454,1.4929546350412688,0.0013383823596104685,64.93923169889973,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",266125,107206,charls:True;elsa:False;hrs:True;klosa:True;mhas:True;share:True,odds_ratio
exclude_interval_outside_0_5_to_5y_transition_gee,mental_health,matched_0.20,fixed,False,death,cmm4_start,cmm4_start,death_transition,validated_binary_death_endpoint,5,1.2656483525279216,1.0999432707320638,1.4563166982152866,0.8900264200184749,1.7997957321574694,0.009685562232705116,84.09611865045618,"charls,hrs,klosa,mhas,share","charls:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",236577,99281,charls:True;hrs:True;klosa:True;mhas:True;share:True,odds_ratio
exclude_klosa_binary_domain_interaction,mental_health,matched_0.20,fixed,False,any_domain,cmm4_start,"C(domain, Treatment(reference='cognitive'))[T.functional]:cmm4_start",survivor_conditional_paired_domain_contrast,observed_living_endpoint_survivor_conditional_model,5,1.3374246047799512,1.2284610052877982,1.4560531964559666,1.0800216742569462,1.6561747010322139,0.003574901722927479,79.53574805240372,"charls,elsa,hrs,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;mhas:depression;share:depression,psychiatric",492596,100186,charls:True;elsa:False;hrs:True;mhas:True;share:True,ratio_of_odds_ratios
exclude_klosa_binary_domain_interaction,mental_health,matched_0.20,fixed,False,any_domain,cmm4_start,cmm4_start,survivor_conditional_paired_domain_contrast,observed_living_endpoint_survivor_conditional_model,5,1.0013027521643532,0.9247331795885193,1.0842124232397938,0.8135132224521737,1.2324411869665104,0.0034382559256469956,85.41455640161074,"charls,elsa,hrs,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;mhas:depression;share:depression,psychiatric",492596,100186,charls:True;elsa:False;hrs:True;mhas:True;share:True,odds_ratio
exclude_klosa_continuous_domain_interaction,mental_health,continuous,fixed,False,stacked_worsening,cmm4_change_raw,cmm4_change_raw[cognitive],paired_observed_interval_domain_contrast,not_applicable_to_observed_interval_change,5,0.04188315637043973,0.02007250101864345,0.06369381172223601,-0.01155592083736915,0.09532223357824862,0.00022025481631088127,74.84382969684155,"charls,elsa,hrs,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;mhas:depression;share:depression,psychiatric",335568,122528,charls:True;elsa:False;hrs:True;mhas:True;share:True,beta
exclude_klosa_continuous_domain_interaction,mental_health,continuous,fixed,False,stacked_worsening,cmm4_change_raw,cmm4_change_raw[functional-minus-cognitive],paired_observed_interval_domain_contrast,not_applicable_to_observed_interval_change,5,0.05598549410749649,0.029849269093429526,0.08212171912156345,-0.0037068089261855647,0.11567779714117854,0.00026320005950716314,60.63214595681043,"charls,elsa,hrs,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;mhas:depression;share:depression,psychiatric",335568,122528,charls:True;elsa:False;hrs:True;mhas:True;share:True,beta
exclude_klosa_continuous_domain_interaction,mental_health,continuous,fixed,False,stacked_worsening,cmm4_change_raw,cmm4_change_raw[functional],paired_observed_interval_domain_contrast,not_applicable_to_observed_interval_change,5,0.09423676762387802,0.07768688227508525,0.11078665297267079,0.06728164165873961,0.12119189358901643,3.6208508874439124e-05,44.298846726137405,"charls,elsa,hrs,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;mhas:depression;share:depression,psychiatric",335568,122528,charls:True;elsa:False;hrs:True;mhas:True;share:True,beta
exclude_klosa_transition_gee,mental_health,matched_0.20,fixed,False,any_cognitive,cmm4_start,cmm4_start,survivor_conditional_domain_transition,observed_living_endpoint_survivor_conditional_model,5,1.001302761845574,0.924733238924926,1.0842123746359362,0.813513299399933,1.232441094225653,0.003438253567598977,85.41458320443898,"charls,elsa,hrs,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;mhas:depression;share:depression,psychiatric",246298,100186,charls:True;elsa:False;hrs:True;mhas:True;share:True,odds_ratio
exclude_klosa_transition_gee,mental_health,matched_0.20,fixed,False,any_functional,cmm4_start,cmm4_start,survivor_conditional_domain_transition,observed_living_endpoint_survivor_conditional_model,5,1.3395126278505078,1.26581334112214,1.4175028986345939,1.1726220904103262,1.53015544807203,0.0013327709700808373,68.07587836292636,"charls,elsa,hrs,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;mhas:depression;share:depression,psychiatric",246298,100186,charls:True;elsa:False;hrs:True;mhas:True;share:True,odds_ratio
klosa_adl_only_binary_domain_interaction,mental_health,matched_0.20,fixed,False,any_domain,cmm4_start,"C(domain, Treatment(reference='cognitive'))[T.functional]:cmm4_start",survivor_conditional_paired_domain_contrast,observed_living_endpoint_survivor_conditional_model,6,1.3383453934411973,1.2466203864465064,1.436819429249831,1.1263461091539397,1.5902468855605298,0.003095278552722936,74.92457398754956,"charls,elsa,hrs,mhas,share,klosa","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;mhas:depression;share:depression,psychiatric;klosa:depression,psychiatric",534600,107435,charls:True;elsa:False;hrs:True;mhas:True;share:True;klosa:True,ratio_of_odds_ratios
klosa_adl_only_binary_domain_interaction,mental_health,matched_0.20,fixed,False,any_domain,cmm4_start,cmm4_start,survivor_conditional_paired_domain_contrast,observed_living_endpoint_survivor_conditional_model,6,1.0065287714787203,0.9463754305889357,1.0705055679478102,0.8581127458802517,1.1806142871997831,0.0027266689241144675,81.76917462410222,"charls,elsa,hrs,mhas,share,klosa","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;mhas:depression;share:depression,psychiatric;klosa:depression,psychiatric",534600,107435,charls:True;elsa:False;hrs:True;mhas:True;share:True;klosa:True,odds_ratio
