cohort,analysis,adjustment_set,state_definition,standardization,persistent,outcome,exposure,registered_model_cell,successful_target_terms,failed_or_skipped_models,completion_status
charls,transition_gee_ipcw,mental_health,matched_0.20,fixed,False,any_cognitive,cmm4_start,True,1,0,estimated
charls,transition_gee_ipcw,mental_health,matched_0.20,fixed,False,any_functional,cmm4_start,True,1,0,estimated
charls,transition_multinomial_cluster,mental_health,matched_0.20,fixed,False,state_to,cmm4_start,True,4,0,estimated
elsa,binary_domain_interaction,mental_health,legacy,fixed,False,any_domain,cmm4_start,True,2,0,estimated
elsa,binary_domain_interaction,mental_health,matched_0.20,fixed,False,any_domain,cmm4_start,True,2,0,estimated
elsa,continuous_domain_interaction,mental_health,continuous,fixed,False,stacked_worsening,cmm4_change_raw,True,3,0,estimated
elsa,continuous_domain_interaction,mental_health,continuous,wave,False,stacked_worsening,cmm4_change_raw,True,3,0,estimated
elsa,continuous_gee_fixed_annualised,mental_health,continuous,fixed,False,cognitive_worsening_fixed_annual,cmm4_change_annual,True,1,0,estimated
elsa,continuous_gee_fixed_annualised,mental_health,continuous,fixed,False,functional_worsening_fixed_annual,cmm4_change_annual,True,1,0,estimated
elsa,continuous_gee_fixed_unannualised,base,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,True,1,0,estimated
elsa,continuous_gee_fixed_unannualised,base,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,True,1,0,estimated
elsa,continuous_gee_fixed_unannualised,lifestyle,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,True,0,1,failed_or_skipped
elsa,continuous_gee_fixed_unannualised,lifestyle,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,True,0,1,failed_or_skipped
elsa,continuous_gee_fixed_unannualised,medication_burden,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,True,0,1,failed_or_skipped
elsa,continuous_gee_fixed_unannualised,medication_burden,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,True,0,1,failed_or_skipped
elsa,continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,True,1,0,estimated
elsa,continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm5_change_raw,True,1,0,estimated
elsa,continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,True,1,0,estimated
elsa,continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,functional_worsening_fixed_raw,cmm5_change_raw,True,1,0,estimated
elsa,continuous_gee_fixed_unannualised,socioeconomic,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,True,0,1,failed_or_skipped
elsa,continuous_gee_fixed_unannualised,socioeconomic,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,True,0,1,failed_or_skipped
elsa,continuous_gee_ipcw,mental_health,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,True,1,0,estimated
elsa,continuous_gee_ipcw,mental_health,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,True,1,0,estimated
