cohort,mortality_available,wave,domain,scale,metric_type,rows,death_endpoint_rows_excluded,observed_n,missing_percent,mean,sd,skewness,minimum,p05,p25,median,p75,p95,maximum,zero_percent,observed_floor_percent,observed_ceiling_percent
hrs,True,13,function,z_fixed,z_fixed,20912,0,19853,5.064078041315991,0.02815187394536889,1.0022345380784632,3.183722721182512,-0.37467038613178133,-0.37467038613178133,-0.37467038613178133,-0.37467038613178133,-0.37467038613178133,2.3577036911323472,5.203556063794645,0.0,75.92807132423312,0.7202941620913715
hrs,True,13,function,z_wave,z_wave,20912,0,19853,5.064078041315991,1.145286231014114e-17,1.0000000000000038,3.1837227211825128,-0.40192414526989245,-0.40192414526989245,-0.40192414526989245,-0.40192414526989245,-0.40192414526989245,2.324357950837862,5.163865336123672,0.0,75.92807132423312,0.7202941620913715
hrs,True,14,cognition,source_metric,validated_total_score,17146,0,16483,3.866791088300478,15.394588363768731,4.553418978660096,-0.37311533787121104,0.0,7.0,13.0,16.0,19.0,22.0,27.0,0.1092034217072135,0.1092034217072135,0.15167141903779652
hrs,True,14,cognition,z_fixed,z_fixed,17146,0,16483,3.866791088300478,0.02956897389524341,0.9576640924591769,-0.37311533787121104,-3.20818370453486,-1.7359605951238128,-0.47405507277148695,0.15689768840467597,0.7878504495808388,1.4188032107570019,2.4703911460506065,0.0,0.1092034217072135,0.15167141903779652
hrs,True,14,cognition,z_wave,z_wave,17146,0,16483,3.866791088300478,4.828052320884015e-17,0.9999999999999984,-0.3731153378712111,-3.380885535883362,-1.8435791661409857,-0.525887992076092,0.13295759495635479,0.7918031819888016,1.4506487690212484,2.54872474740866,0.0,0.1092034217072135,0.15167141903779652
hrs,True,14,function,source_metric,fixed_reference_item_z_mean,17146,0,16323,4.799953341887321,0.003970281819194611,0.8884027489126727,3.198901024103152,-0.35582960128647795,-0.35582960128647795,-0.35582960128647795,-0.35582960128647795,-0.35582960128647795,2.017616530982766,4.7598603620345745,0.0,75.83164859400846,0.6248851314096674
hrs,True,14,function,z_fixed,z_fixed,17146,0,16323,4.799953341887321,0.017660900363451533,0.9687279228616155,3.198901024103152,-0.37467038613178133,-0.37467038613178133,-0.37467038613178133,-0.37467038613178133,-0.37467038613178133,2.2133715177807947,5.203556063794645,0.0,75.83164859400846,0.6248851314096674
hrs,True,14,function,z_wave,z_wave,17146,0,16323,4.799953341887321,6.964824953845251e-18,0.9999999999999967,3.1989010241031517,-0.40499636403200573,-0.40499636403200573,-0.40499636403200573,-0.40499636403200573,-0.40499636403200573,2.2665916462191182,5.3533041022623555,0.0,75.83164859400846,0.6248851314096674
hrs,True,15,cognition,source_metric,validated_total_score,15723,0,15002,4.585638872988616,15.492934275429942,4.708216815508916,-0.325223794028951,0.0,7.0,12.0,16.0,19.0,23.0,27.0,0.07332355685908545,0.07332355685908545,0.21997067057725636
hrs,True,15,cognition,z_fixed,z_fixed,15723,0,15002,4.585638872988616,0.050252848732919506,0.9902207999871304,-0.3252237940289513,-3.20818370453486,-1.7359605951238128,-0.6843726598302079,0.15689768840467597,0.7878504495808388,1.6291207978157227,2.4703911460506065,0.0,0.07332355685908545,0.21997067057725636
hrs,True,15,cognition,z_wave,z_wave,15723,0,15002,4.585638872988616,1.1367168149741639e-16,1.0000000000000007,-0.3252237940289514,-3.2906161467322543,-1.8038536898840627,-0.7418805064210684,0.10769804034932687,0.7448819504271234,1.5944604971975187,2.444039043967914,0.0,0.07332355685908545,0.21997067057725636
