cohort,mortality_available,standardization,state_definition,persistent,state_from,origin_intervals,origin_percent
elsa,False,wave,strict,False,functional_only,4119,6.488862282995684
elsa,False,wave,strict,False,joint,1917,3.0199439175777436
elsa,False,wave,strict,False,unimpaired,48595,76.55408172910299
hrs,True,wave,strict,False,cognitive_only,24319,16.532178571185785
hrs,True,wave,strict,False,functional_only,6399,4.350072399235899
hrs,True,wave,strict,False,joint,5520,3.752523776180991
hrs,True,wave,strict,False,unimpaired,110863,75.36522525339733
klosa,True,wave,strict,False,cognitive_only,4475,16.25794732061762
klosa,True,wave,strict,False,functional_only,340,1.2352406902815622
klosa,True,wave,strict,False,joint,1182,4.294277929155314
klosa,True,wave,strict,False,unimpaired,21528,78.2125340599455
mhas,True,wave,strict,False,cognitive_only,8358,20.132967191790723
mhas,True,wave,strict,False,functional_only,2018,4.861010743363685
mhas,True,wave,strict,False,joint,1836,4.422604422604422
mhas,True,wave,strict,False,unimpaired,29302,70.58341764224117
share,True,wave,strict,False,cognitive_only,18555,17.3021512294738
share,True,wave,strict,False,functional_only,4147,3.8669911694221426
share,True,wave,strict,False,joint,4550,4.24278027993025
share,True,wave,strict,False,unimpaired,79989,74.5880773211738
charls,True,wave,strict,True,cognitive_only,2632,12.077826725403819
charls,True,wave,strict,True,functional_only,800,3.671071953010279
charls,True,wave,strict,True,joint,315,1.4454845814977975
charls,True,wave,strict,True,unimpaired,18045,82.80561674008811
elsa,False,wave,strict,True,cognitive_only,6167,12.808424025920079
elsa,False,wave,strict,True,functional_only,2959,6.145634294259367
elsa,False,wave,strict,True,joint,1145,2.378084240259201
elsa,False,wave,strict,True,unimpaired,37877,78.66785743956136
hrs,True,wave,strict,True,cognitive_only,15271,14.290660677521991
hrs,True,wave,strict,True,functional_only,3777,3.5345311622683884
hrs,True,wave,strict,True,joint,2316,2.167321729365525
hrs,True,wave,strict,True,unimpaired,85496,80.0074864308441
klosa,True,wave,strict,True,cognitive_only,2653,14.892780958796452
klosa,True,wave,strict,True,functional_only,146,0.8195801055349725
klosa,True,wave,strict,True,joint,402,2.2566520714045133
klosa,True,wave,strict,True,unimpaired,14613,82.03098686426407
mhas,True,wave,strict,True,cognitive_only,3368,16.795491946342192
mhas,True,wave,strict,True,functional_only,793,3.954520520620356
mhas,True,wave,strict,True,joint,339,1.6905201216775545
mhas,True,wave,strict,True,unimpaired,15553,77.55946741135989
share,True,wave,strict,True,cognitive_only,6385,15.268179535617781
share,True,wave,strict,True,functional_only,1260,3.0129845285635715
share,True,wave,strict,True,joint,788,1.8843109591334082
share,True,wave,strict,True,unimpaired,33386,79.83452497668524
charls,True,wave,matched_0.15,False,cognitive_only,3010,7.6997851222756575
charls,True,wave,matched_0.15,False,functional_only,4376,11.19410621098946
charls,True,wave,matched_0.15,False,joint,1184,3.028752685971554
charls,True,wave,matched_0.15,False,unimpaired,30522,78.07735598076333
elsa,False,wave,matched_0.15,False,cognitive_only,6018,9.480449919657204
elsa,False,wave,matched_0.15,False,functional_only,6214,9.789218311856077
elsa,False,wave,matched_0.15,False,joint,2001,3.152273228520117
elsa,False,wave,matched_0.15,False,unimpaired,49245,77.5780585399666
hrs,True,wave,matched_0.15,False,cognitive_only,14063,9.56009816384661
hrs,True,wave,matched_0.15,False,functional_only,13216,8.98430330181304
hrs,True,wave,matched_0.15,False,joint,6177,4.1991556821503595
hrs,True,wave,matched_0.15,False,unimpaired,113645,77.25644285218999
klosa,True,wave,matched_0.15,False,cognitive_only,2635,9.573115349682107
klosa,True,wave,matched_0.15,False,functional_only,1684,6.118074477747502
klosa,True,wave,matched_0.15,False,joint,1458,5.29700272479564
klosa,True,wave,matched_0.15,False,unimpaired,21748,79.01180744777476
mhas,True,wave,matched_0.15,False,cognitive_only,4383,10.557884087295852
mhas,True,wave,matched_0.15,False,functional_only,3813,9.184853302500361
mhas,True,wave,matched_0.15,False,joint,1589,3.82762441585971
mhas,True,wave,matched_0.15,False,unimpaired,31729,76.42963819434408
share,True,wave,matched_0.15,False,cognitive_only,9685,9.03106088156582
share,True,wave,matched_0.15,False,functional_only,11869,11.06759541593234
share,True,wave,matched_0.15,False,joint,5606,5.227478296547029
share,True,wave,matched_0.15,False,unimpaired,80081,74.67386540595481
charls,True,wave,matched_0.15,True,cognitive_only,1103,5.0614904552129225
charls,True,wave,matched_0.15,True,functional_only,2231,10.237701908957415
charls,True,wave,matched_0.15,True,joint,354,1.6244493392070485
charls,True,wave,matched_0.15,True,unimpaired,18104,83.07635829662262
